Source,Target,Sort,Time
200771,2,3,2008/12/31
200771,37,3,2008/12/31
200771,39,3,2008/12/31
200771,600295,3,2008/12/31
200771,600320,3,2008/12/31
200771,600611,3,2008/12/31
200771,600619,3,2008/12/31
200771,600623,3,2008/12/31
200771,600648,3,2008/12/31
200771,600663,3,2008/12/31
200771,600680,3,2008/12/31
200771,600726,3,2008/12/31
200771,600776,3,2008/12/31
200771,600819,3,2008/12/31
200771,600827,3,2008/12/31
200771,600835,3,2008/12/31
200771,900929,3,2008/12/31
200771,900949,3,2008/12/31
600295,2,3,2008/12/31
600295,37,3,2008/12/31
600295,39,3,2008/12/31
600295,200771,3,2008/12/31
600295,600320,3,2008/12/31
600295,600611,3,2008/12/31
600295,600619,3,2008/12/31
600295,600623,3,2008/12/31
600295,600648,3,2008/12/31
600295,600663,3,2008/12/31
600295,600680,3,2008/12/31
600295,600726,3,2008/12/31
600295,600776,3,2008/12/31
600295,600819,3,2008/12/31
600295,600827,3,2008/12/31
600295,600835,3,2008/12/31
600295,900929,3,2008/12/31
600295,900949,3,2008/12/31
600320,2,3,2008/12/31
600320,37,3,2008/12/31
600320,39,3,2008/12/31
600320,200771,3,2008/12/31
600320,600295,3,2008/12/31
600320,600611,3,2008/12/31
600320,600619,3,2008/12/31
600320,600623,3,2008/12/31
600320,600648,3,2008/12/31
600320,600663,3,2008/12/31
600320,600680,3,2008/12/31
600320,600726,3,2008/12/31
600320,600776,3,2008/12/31
600320,600819,3,2008/12/31
600320,600827,3,2008/12/31
600320,600835,3,2008/12/31
600320,900929,3,2008/12/31
600320,900949,3,2008/12/31
600611,2,3,2008/12/31
600611,37,3,2008/12/31
600611,39,3,2008/12/31
600611,200771,3,2008/12/31
600611,600295,3,2008/12/31
600611,600320,3,2008/12/31
600611,600619,3,2008/12/31
600611,600623,3,2008/12/31
600611,600648,3,2008/12/31
600611,600663,3,2008/12/31
600611,600680,3,2008/12/31
600611,600726,3,2008/12/31
600611,600776,3,2008/12/31
600611,600819,3,2008/12/31
600611,600827,3,2008/12/31
600611,600835,3,2008/12/31
600611,900929,3,2008/12/31
600611,900949,3,2008/12/31
600619,2,3,2008/12/31
600619,37,3,2008/12/31
600619,39,3,2008/12/31
600619,200771,3,2008/12/31
600619,600295,3,2008/12/31
600619,600320,3,2008/12/31
600619,600611,3,2008/12/31
600619,600623,3,2008/12/31
600619,600648,3,2008/12/31
600619,600663,3,2008/12/31
600619,600680,3,2008/12/31
600619,600726,3,2008/12/31
600619,600776,3,2008/12/31
600619,600819,3,2008/12/31
600619,600827,3,2008/12/31
600619,600835,3,2008/12/31
600619,900929,3,2008/12/31
600619,900949,3,2008/12/31
600623,2,3,2008/12/31
600623,37,3,2008/12/31
600623,39,3,2008/12/31
600623,200771,3,2008/12/31
600623,600295,3,2008/12/31
600623,600320,3,2008/12/31
600623,600611,3,2008/12/31
600623,600619,3,2008/12/31
600623,600648,3,2008/12/31
600623,600663,3,2008/12/31
600623,600680,3,2008/12/31
600623,600726,3,2008/12/31
600623,600776,3,2008/12/31
600623,600819,3,2008/12/31
600623,600827,3,2008/12/31
600623,600835,3,2008/12/31
600623,900929,3,2008/12/31
600623,900949,3,2008/12/31
600648,2,3,2008/12/31
600648,37,3,2008/12/31
600648,39,3,2008/12/31
600648,200771,3,2008/12/31
600648,600295,3,2008/12/31
600648,600320,3,2008/12/31
600648,600611,3,2008/12/31
600648,600619,3,2008/12/31
600648,600623,3,2008/12/31
600648,600663,3,2008/12/31
600648,600680,3,2008/12/31
600648,600726,3,2008/12/31
600648,600776,3,2008/12/31
600648,600819,3,2008/12/31
600648,600827,3,2008/12/31
600648,600835,3,2008/12/31
600648,900929,3,2008/12/31
600648,900949,3,2008/12/31
600663,2,3,2008/12/31
600663,37,3,2008/12/31
600663,39,3,2008/12/31
600663,200771,3,2008/12/31
600663,600295,3,2008/12/31
600663,600320,3,2008/12/31
600663,600611,3,2008/12/31
600663,600619,3,2008/12/31
600663,600623,3,2008/12/31
600663,600648,3,2008/12/31
600663,600680,3,2008/12/31
600663,600726,3,2008/12/31
600663,600776,3,2008/12/31
600663,600819,3,2008/12/31
600663,600827,3,2008/12/31
600663,600835,3,2008/12/31
600663,900929,3,2008/12/31
600663,900949,3,2008/12/31
600680,2,3,2008/12/31
600680,37,3,2008/12/31
600680,39,3,2008/12/31
600680,200771,3,2008/12/31
600680,600295,3,2008/12/31
600680,600320,3,2008/12/31
600680,600611,3,2008/12/31
600680,600619,3,2008/12/31
600680,600623,3,2008/12/31
600680,600648,3,2008/12/31
600680,600663,3,2008/12/31
600680,600726,3,2008/12/31
600680,600776,3,2008/12/31
600680,600819,3,2008/12/31
600680,600827,3,2008/12/31
600680,600835,3,2008/12/31
600680,900929,3,2008/12/31
600680,900949,3,2008/12/31
600726,2,3,2008/12/31
600726,37,3,2008/12/31
600726,39,3,2008/12/31
600726,200771,3,2008/12/31
600726,600295,3,2008/12/31
600726,600320,3,2008/12/31
600726,600611,3,2008/12/31
600726,600619,3,2008/12/31
600726,600623,3,2008/12/31
600726,600648,3,2008/12/31
600726,600663,3,2008/12/31
600726,600680,3,2008/12/31
600726,600776,3,2008/12/31
600726,600819,3,2008/12/31
600726,600827,3,2008/12/31
600726,600835,3,2008/12/31
600726,900929,3,2008/12/31
600726,900949,3,2008/12/31
600776,2,3,2008/12/31
600776,37,3,2008/12/31
600776,39,3,2008/12/31
600776,200771,3,2008/12/31
600776,600295,3,2008/12/31
600776,600320,3,2008/12/31
600776,600611,3,2008/12/31
600776,600619,3,2008/12/31
600776,600623,3,2008/12/31
600776,600648,3,2008/12/31
600776,600663,3,2008/12/31
600776,600680,3,2008/12/31
600776,600726,3,2008/12/31
600776,600819,3,2008/12/31
600776,600827,3,2008/12/31
600776,600835,3,2008/12/31
600776,900929,3,2008/12/31
600776,900949,3,2008/12/31
600819,2,3,2008/12/31
600819,37,3,2008/12/31
600819,39,3,2008/12/31
600819,200771,3,2008/12/31
600819,600295,3,2008/12/31
600819,600320,3,2008/12/31
600819,600611,3,2008/12/31
600819,600619,3,2008/12/31
600819,600623,3,2008/12/31
600819,600648,3,2008/12/31
600819,600663,3,2008/12/31
600819,600680,3,2008/12/31
600819,600726,3,2008/12/31
600819,600776,3,2008/12/31
600819,600827,3,2008/12/31
600819,600835,3,2008/12/31
600819,900929,3,2008/12/31
600819,900949,3,2008/12/31
600827,2,3,2008/12/31
600827,37,3,2008/12/31
600827,39,3,2008/12/31
600827,200771,3,2008/12/31
600827,600295,3,2008/12/31
600827,600320,3,2008/12/31
600827,600611,3,2008/12/31
600827,600619,3,2008/12/31
600827,600623,3,2008/12/31
600827,600648,3,2008/12/31
600827,600663,3,2008/12/31
600827,600680,3,2008/12/31
600827,600726,3,2008/12/31
600827,600776,3,2008/12/31
600827,600819,3,2008/12/31
600827,600835,3,2008/12/31
600827,900929,3,2008/12/31
600827,900949,3,2008/12/31
600835,2,3,2008/12/31
600835,37,3,2008/12/31
600835,39,3,2008/12/31
600835,200771,3,2008/12/31
600835,600295,3,2008/12/31
600835,600320,3,2008/12/31
600835,600611,3,2008/12/31
600835,600619,3,2008/12/31
600835,600623,3,2008/12/31
600835,600648,3,2008/12/31
600835,600663,3,2008/12/31
600835,600680,3,2008/12/31
600835,600726,3,2008/12/31
600835,600776,3,2008/12/31
600835,600819,3,2008/12/31
600835,600827,3,2008/12/31
600835,900929,3,2008/12/31
600835,900949,3,2008/12/31
900929,2,3,2008/12/31
900929,37,3,2008/12/31
