Id,Label,Modularity Class,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Eigenvector Centrality,In-degress,Out-degree,Degree,Group
600135,,1,6,2.336047372,1130.591922,0.31410256,0.011644791,40,40,80,3
600982,,1,6,2.553663953,17.51818387,0.14285715,0.002557875,7,7,14,3
2310,,1,6,2.384529978,348.7927221,0.55757576,0.017115027,45,45,90,3
2051,,2,5,1.70984456,7623.946999,0.91905904,0.85748894,969,969,1938,3
791,,1,6,2.393412287,792.6903031,0.35561877,0.008149171,38,38,76,3
300389,,2,5,1.713545522,18527.68764,0.93663496,0.8519711,955,955,1910,3
601601,,2,5,1.60584752,5479.557373,0.7824421,0.99689695,1202,1202,2404,3
753,,2,6,1.853071799,3966.17843,0.95978206,0.576091509,690,690,1380,3
801,,1,6,2.260177646,933.5001536,0.6241234,0.03910191,93,93,186,3
836,,1,6,2.461139896,214.8791647,0.54,0.007186266,25,25,50,3
928,,1,6,2.386380459,1245.944705,0.36004645,0.010467862,42,42,84,3
2156,,1,6,2.470392302,155.6669809,0.5612648,0.006457766,23,23,46,3
300008,,1,6,2.29015544,894.7098709,0.7317843,0.036819668,84,84,168,3
600252,,2,5,1.615099926,7558.867745,0.79962647,0.994137436,1186,1186,2372,3
757,,2,6,1.85788305,3696.609586,0.9882918,0.574905157,679,679,1358,3
2611,,1,6,2.532938564,63.23914123,0.3888889,0.003283976,9,9,18,3
2395,,1,7,3.454478164,0,0,1.84E-05,1,1,2,3
601100,,1,6,2.369356033,353.4488565,0.3314394,0.011239741,33,33,66,3
2213,,1,6,2.428571429,650.6671614,0.71692306,0.008070818,26,26,52,3
995,,1,7,3.196150999,2.335984493,0.33333334,7.23E-05,3,3,6,3
661,,2,5,1.697631384,9749.675422,0.8793909,0.862141925,995,995,1990,3
695,,2,6,1.852331606,1113.827897,0.9844291,0.578374978,683,683,1366,3
2723,,2,5,1.724648409,8935.622527,0.9758774,0.851280966,935,935,1870,3
509,,2,6,1.860103627,5522.933029,0.9941637,0.574886829,677,677,1354,3
600867,,2,6,1.809400444,9481.500448,0.833947,0.598024616,760,760,1520,3
600422,,2,5,1.605477424,13338.07766,0.77528983,0.99464202,1205,1205,2410,3
600976,,1,6,2.253515914,1034.465243,0.3778481,0.036908963,80,80,160,3
2739,,1,8,4.337157661,0,1,2.05E-05,2,2,4,3
600097,,1,7,3.086602517,390.8701388,0.13333334,1.99E-04,6,6,12,3
36,,1,6,2.567727609,70.5853574,0.33333334,0.002762122,7,7,14,3
69,,2,5,1.596595115,15063.04398,0.7462482,0.99630352,1230,1230,2460,3
601888,,2,5,1.606587713,6107.971935,0.7742298,0.997477719,1209,1209,2418,3
300238,,1,6,2.19022946,4655.911435,0.3107869,0.036142363,117,117,234,3
633,,1,6,2.70392302,38.67660072,0,8.68E-04,2,2,4,3
798,,1,7,2.83530718,0.70660633,0,6.08E-04,2,2,4,3
300309,,1,6,2.259067358,4869.705865,0.4522152,0.02446201,80,80,160,3
600995,,1,6,2.156550703,1550.004866,0.69001645,0.118565966,175,175,350,3
