Stkcd,Accper,Typrep,net_profit,A003100000,net_property,group,Msmvttl,Mretwd,Mnvaltrd
153,06/30/2015,A,18557644.33,1144343196,1178741865.7,2,3645809.5667,-0.15,5165888227
153,09/30/2015,A,32122862.96,1145683440.8,1179968667.8,3,3099562.415,0.02,1007044327.4
155,03/31/2015,A,-55018762.76,-875324867.8,-936927961.2,1,5774733.3333,0.1833333333,4178629615
155,06/30/2015,A,-119912178.2,-932535510.8,-1000263489,2,4200233.3333,-0.183333333,3711921165.7
155,09/30/2015,A,-181204615.2,-1020851197,-1094638494,3,3747466.6667,0.07,1108836028.1
156,03/31/2015,A,130693898.3,2328529696.4,2337750734.4,1,60218916.187,0.1133333333,6753450497.3
156,06/30/2015,A,249797683.5,8954733364.5,8963453319.6,2,45384699.057,-0.176666667,5834667774
156,09/30/2015,A,402078417.8,9107560416.3,9115734053.9,3,42928889.467,0.05,8549969262.7
157,03/31/2015,A,-389848997.6,40363440680,41252594413,1,50437518.567,0.1266666667,44689354981
157,06/30/2015,A,-334876720.9,40133241785,40999825493,2,41525704.833,-0.126666667,41343131549
157,09/30/2015,A,-541611480.8,39461495382,40314551494,3,32049057.84,-0.033333333,9209244455.3
158,03/31/2015,A,-40673304.29,2431701148,2432124092.8,1,16433162.46,0.3466666667,11321702543
158,06/30/2015,A,-33606368.35,4613290193.3,4617332985.5,2,20058716.03,-0.27,14214038367
158,09/30/2015,A,-72717256.55,5106847151.6,5110388845.1,3,20084549.853,0.1166666667,7377587432.7
159,03/31/2015,A,-8953722.61,2140758698.4,2170597893.7,1,6310943.74,0.0733333333,8223366953.7
159,06/30/2015,A,54438351.62,2171419899.1,2189374790.1,2,4572427.09,-0.146666667,7652532506
159,09/30/2015,A,-37522155.51,2090133536.9,2108049276.1,3,3825057.39,0.0133333333,3432668279
166,03/31/2015,A,2616856926,41180186394,42614146033,1,268114724.37,0.06,81849077182
166,06/30/2015,A,7515473579,46190454232,47649946426,2,192642459.87,-0.2,46866460507
166,09/30/2015,A,8635315729,46439496204,48005468674,3,142179049.43,0.0366666667,19895463122
301,03/31/2015,A,36735420.8,3160666313.3,3164637915.4,1,8702269.0067,0.16,7691911210.3
301,06/30/2015,A,90047026.39,3213956745.6,3217949521,2,7808895.61,-0.133333333,10219024880
301,09/30/2015,A,136606055.3,3199570443,3203596727.7,3,6476957.1,0.0633333333,3982323092.7
333,03/31/2015,A,3650789740,42939219430,49378735060,1,150251413.97,0.0666666667,27110088165
333,06/30/2015,A,8948567620,46154741470,52449425410,2,141711696.6,-0.076666667,31097947225
333,09/30/2015,A,11828503940,47681320040,54070631490,3,113851920.1,-0.016666667,12782813088
338,03/31/2015,A,760727168.3,31589396567,39451525180,1,47217703.57,0.05,30616456396
338,06/30/2015,A,1306136287,31942217622,41534942751,2,36809527.22,-0.14,30611855701
338,09/30/2015,A,1565795764,31436599057,41169525244,3,27122809.533,0.0033333333,6732343644.7
400,03/31/2015,A,12700163.99,5680048814.3,6246861962.9,1,29130575.957,0.08,24898539353
400,06/30/2015,A,94214777.83,5745730269.4,6328376576.8,2,21174873.487,-0.146666667,19563132016
400,09/30/2015,A,184357037.3,5734631735,6300032318.2,3,18237279.93,0.0133333333,7604672369
401,03/31/2015,A,-719317806.7,11194018089,12707304357,1,24066759.243,0.14,14889389409
401,06/30/2015,A,-51385904.46,12408543165,13873387981,2,15667199.747,-0.156666667,14830323360
401,09/30/2015,A,-902223399.8,11117270465,12528081996,3,12545438.33,0.0266666667,5443106404.3
402,03/31/2015,A,799833767.3,25018032591,29068049792,1,38527306.5,0.09,26896126905
402,06/30/2015,A,888657544.7,24315230912,28390982881,2,33037638.573,-0.1,27820163312
402,09/30/2015,A,1061387158,24245582562,27756981357,3,26940221.563,0.0233333333,6659479343.3
403,03/31/2015,A,11782649.16,436696696.73,480321426.4,1,,,
403,06/30/2015,A,49542899.45,476377787.09,508192820.61,2,,,
403,09/30/2015,A,61703073.19,490609878.75,520352994.35,3,7302353.88,0.37,4959265880
404,03/31/2015,A,67856038.67,2093495432.8,2763330119.1,1,5568258.3333,0.1266666667,5599371025.3
404,06/30/2015,A,189365254.5,2143373967.5,2823347348.7,2,4728822.4,-0.116666667,8536404561
404,09/30/2015,A,275928729.3,2203654523,2910615228.6,3,4542281.0833,0.0833333333,4330913274.3
407,03/31/2015,A,5719419.02,1772827157.2,2039817792.6,1,7061904.9267,0.1033333333,5731352990.3
407,06/30/2015,A,13343292.16,1782442607.7,2074387796.6,2,5702159.2567,-0.14,7764742642.7
407,09/30/2015,A,19543424.12,1787607247.5,2078063593.7,3,5147424.3067,0.0333333333,2894187460.3
408,03/31/2015,A,314396.87,136187607.64,137912814.19,1,4930812.3167,0.29,4161330622
