Stkcd,Accper,Typrep,B002000000
426,3/31/2015,A,7837821.93
428,9/30/2015,A,12105581.73
428,6/30/2015,A,25271198.71
428,3/31/2015,A,-51977788.55
429,9/30/2015,A,453372895.1
429,6/30/2015,A,267298444.1
429,3/31/2015,A,108262136.4
430,9/30/2015,A,130630121.5
430,6/30/2015,A,48454988.22
430,3/31/2015,A,-4790158.02
488,9/30/2015,A,525467739.2
488,6/30/2015,A,253713266
488,3/31/2015,A,82587435.42
498,9/30/2015,A,205414944
498,6/30/2015,A,118920804.9
498,3/31/2015,A,33156151.11
501,9/30/2015,A,554725333
501,6/30/2015,A,437123782.5
501,3/31/2015,A,262668143.5
502,9/30/2015,A,-8702396.15
502,6/30/2015,A,-5154809.79
502,3/31/2015,A,-2567650.46
503,9/30/2015,A,-109251239.8
503,6/30/2015,A,-52776362.39
503,3/31/2015,A,-22534172.32
504,9/30/2015,A,-10539105.91
504,6/30/2015,A,-7434513.87
504,3/31/2015,A,-3879519.13
505,9/30/2015,A,-39429569.16
505,6/30/2015,A,18641274.06
505,3/31/2015,A,68325986.44
506,9/30/2015,A,-43079719.47
506,6/30/2015,A,-11580088.72
506,3/31/2015,A,-17917590.87
507,9/30/2015,A,59286628.76
507,6/30/2015,A,53195964.19
507,3/31/2015,A,-17585767.06
509,9/30/2015,A,-29099434.12
509,6/30/2015,A,-22666652.61
509,3/31/2015,A,-12195617.97
510,9/30/2015,A,-93437269.38
510,6/30/2015,A,-74510775.52
510,3/31/2015,A,-54649516.73
511,9/30/2015,A,22378282.99
511,6/30/2015,A,11418282.7
511,3/31/2015,A,-4413129.54
513,9/30/2015,A,541648063.3
513,6/30/2015,A,372503054.4
513,3/31/2015,A,203042008.2
514,9/30/2015,A,-41286091.25
514,6/30/2015,A,-96156715.27
514,3/31/2015,A,-35533214.2
516,9/30/2015,A,175450884.4
516,6/30/2015,A,157212007.3
516,3/31/2015,A,97497038.24
517,9/30/2015,A,23967794.34
517,6/30/2015,A,21825671.01
517,3/31/2015,A,2325681.1
518,9/30/2015,A,-13431203.54
518,6/30/2015,A,2246052.38
518,3/31/2015,A,9651125.86
519,9/30/2015,A,211511925.6
519,6/30/2015,A,143397888.7
519,3/31/2015,A,53130040.5
520,9/30/2015,A,109338415.5
520,6/30/2015,A,109089299.4
520,3/31/2015,A,2045958.6
521,9/30/2015,A,159463163.4
521,6/30/2015,A,159042874.8
521,3/31/2015,A,50646114.97
523,9/30/2015,A,24332539.48
523,6/30/2015,A,10152144.35
523,3/31/2015,A,1668859.03
524,9/30/2015,A,29545236.78
524,6/30/2015,A,23547539.91
524,3/31/2015,A,7193660.18
525,9/30/2015,A,221262827.3
525,6/30/2015,A,177147425.1
525,3/31/2015,A,79187319.28
526,9/30/2015,A,2865470.8
526,6/30/2015,A,2202939.54
526,3/31/2015,A,1709739.07
528,9/30/2015,A,22101673.13
