Stkcd,Accper,Typrep,A003100000,A003000000
558,9/30/2015,A,1584766465.47 ,1721216213.03 
558,6/30/2015,A,1601523849.39 ,1714415085.93 
558,3/31/2015,A,1648918073.93 ,1763921621.26 
559,9/30/2015,A,3978347063.34 ,4359703936.11 
559,6/30/2015,A,3855171718.23 ,4238263396.83 
559,3/31/2015,A,4185362832.55 ,4570167595.81 
560,9/30/2015,A,3542337776.45 ,3568285750.68 
560,6/30/2015,A,3552723029.00 ,3583745057.18 
560,3/31/2015,A,1232447738.34 ,1278102276.71 
561,9/30/2015,A,947040369.37 ,1036603615.33 
561,6/30/2015,A,948430782.37 ,1037182895.49 
561,3/31/2015,A,923516846.44 ,1015734917.86 
563,9/30/2015,A,4093280834.79 ,4093280834.79 
563,6/30/2015,A,4367701465.95 ,4367701465.95 
563,3/31/2015,A,4081720320.94 ,4081720320.94 
564,9/30/2015,A,2322663318.28 ,2364352885.72 
564,6/30/2015,A,1739095428.66 ,1780041687.84 
564,3/31/2015,A,1735643203.95 ,1775811906.56 
565,9/30/2015,A,775058279.33 ,775058279.33 
565,6/30/2015,A,777593621.66 ,777593621.66 
565,3/31/2015,A,644295258.96 ,646298829.51 
566,9/30/2015,A,2317122376.20 ,2449948867.27 
566,6/30/2015,A,2198732319.31 ,2328441375.91 
566,3/31/2015,A,2158631296.23 ,2262028833.63 
567,9/30/2015,A,209626744.88 ,209626744.88 
567,6/30/2015,A,209409567.76 ,209409567.76 
567,3/31/2015,A,195666908.26 ,238100201.62 
568,9/30/2015,A,10071890212.14 ,10172462983.25 
568,6/30/2015,A,9922857213.12 ,10003234565.42 
568,3/31/2015,A,10256594984.59 ,10364423840.27 
570,9/30/2015,A,1970007385.88 ,1987444662.29 
570,6/30/2015,A,2121204022.93 ,2138066976.38 
570,3/31/2015,A,2033456798.88 ,2050001213.64 
571,9/30/2015,A,2249212505.32 ,2944497338.81 
571,6/30/2015,A,2223103249.30 ,2917518403.06 
571,3/31/2015,A,2213046627.02 ,2909308337.42 
572,9/30/2015,A,7328629972.35 ,9741286785.62 
572,6/30/2015,A,7405493253.70 ,9844602943.96 
572,3/31/2015,A,7340840389.07 ,9866414298.79 
573,9/30/2015,A,1547837605.96 ,1549992412.16 
573,6/30/2015,A,1571569214.27 ,1575172490.80 
573,3/31/2015,A,1580436443.60 ,1598672756.43 
576,9/30/2015,A,1101494109.69 ,1109247604.91 
576,6/30/2015,A,995883253.53 ,1003642778.09 
576,3/31/2015,A,1007187539.05 ,1014965173.58 
581,9/30/2015,A,11436388409.85 ,11864108045.96 
581,6/30/2015,A,11620569390.04 ,12053161445.44 
581,3/31/2015,A,11395175313.91 ,11819370381.60 
582,9/30/2015,A,5809602674.54 ,6075785877.50 
582,6/30/2015,A,5702760899.79 ,5975868331.88 
582,3/31/2015,A,3551154920.41 ,3821287209.01 
