Id,Label,Modularity Class,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Eigenvector Centrality,In-degress,Out-degree,Degree,Group
600226,,1,6,2.580310881,0,1,0.002463148,4,4,8,3
300405,,2,5,1.729829756,228.8730858,0.995774,0.850459392,925,925,1850,3
2161,,2,5,1.721687639,4614.922177,0.9627683,0.852056285,942,942,1884,3
300048,,1,6,2.438934123,648.6417686,0.44827586,0.008322075,30,30,60,3
300134,,1,6,2.389341229,360.558834,0.5134146,0.009006662,41,41,82,3
300150,,1,6,2.396373057,380.2692321,0.455914,0.010233178,31,31,62,3
300307,,2,5,1.725388601,3108.201665,0.97904795,0.85063298,933,933,1866,3
603333,,2,5,1.62250185,2270.407947,0.8248856,0.993340412,1167,1167,2334,3
300399,,2,5,1.72649889,11190.15333,0.97698474,0.850661684,934,934,1868,3
300157,,1,6,2.5,0,1,0.011369301,19,19,38,3
600531,,1,6,2.464840859,62.54222202,0.71794873,0.015902393,27,27,54,3
2233,,1,7,2.79015544,0,1,6.55E-04,5,5,10,3
2336,,1,7,2.79015544,0,1,6.55E-04,5,5,10,3
600855,,1,6,2.313101406,103.6915567,0.83607596,0.037419226,80,80,160,3
711,,1,7,3.135455218,0,1,1.09E-04,4,4,8,3
600136,,1,6,2.41376758,13.78115415,0.9435484,0.006477261,32,32,64,3
300089,,1,6,2.316062176,1343.646137,0.41885522,0.008035009,55,55,110,3
600260,,1,6,2.484455959,0,1,0.001334805,11,11,22,3
2462,,2,5,1.716876388,4333.396423,0.94559747,0.85491763,953,953,1906,3
2634,,2,5,1.710214656,9621.762165,0.9200847,0.853427144,965,965,1930,3
300170,,1,6,2.33826795,1035.504803,0.47807017,0.013403517,57,57,114,3
603555,,2,5,1.616580311,9445.837266,0.8073605,0.993839912,1180,1180,2360,3
2684,,1,6,2.35196151,1042.25596,0.24871795,0.00832157,40,40,80,3
688,,1,6,2.549592894,7.025611505,0.60714287,0.003748044,8,8,16,3
2050,,2,5,1.714285714,1274.890007,0.947937,0.860729937,957,957,1914,3
603889,,1,6,2.34900074,0,1,0.040167773,59,59,118,3
300314,,1,6,2.630273871,17.36771676,0.39285713,0.001985163,8,8,16,3
600222,,1,6,2.548112509,0,1,0.002518682,5,5,10,3
2658,,2,5,1.723168024,7319.321506,0.96681017,0.850765178,939,939,1878,3
300111,,2,5,1.726128793,7676.686298,0.97894555,0.850589328,933,933,1866,3
300182,,1,6,2.567727609,6.163629538,0.9356725,0.004614929,19,19,38,3
300222,,1,6,2.46965211,12.33803346,0.8684211,0.005612221,20,20,40,3
300468,,1,6,2.445965951,0,1,0.002605494,14,14,28,3
2148,,2,5,1.729089563,11174.22476,0.99354386,0.850425893,926,926,1852,3
600053,,1,6,2.720207254,0,1,8.79E-04,3,3,6,3
600405,,1,6,2.462250185,241.1181406,0.7426901,0.00686883,19,19,38,3
603818,,1,6,2.685788305,0,1,0.002629044,6,6,12,3
600038,,2,5,1.602146558,8433.180637,0.7625193,0.996125704,1217,1217,2434,3
600984,,1,6,2.499259808,0,1,0.011511219,19,19,38,3
300373,,1,6,2.43042191,48.14759793,0.7888889,0.007117612,36,36,72,3
300445,,1,6,2.55292376,0,1,0.005762966,26,26,52,3
300306,,1,7,3.329755736,3.712194085,0,3.27E-05,2,2,4,3
300281,,1,6,2.407105848,154.6324218,0.48051947,0.004350306,22,22,44,3
2452,,2,5,1.72945966,920.1532166,0.9936022,0.850455038,926,926,1852,3
600123,,2,6,1.850851221,4630.366697,0.95421314,0.576117939,692,692,1384,3
2436,,1,6,2.478534419,0,1,0.003442262,17,17,34,3
2335,,1,6,2.381569208,108.5130167,0.67948717,0.018004557,40,40,80,3
300263,,1,6,2.440414508,105.8022789,0.5367965,0.006005483,22,22,44,3
300187,,2,5,1.724648409,4173.669273,0.97807264,0.85130869,934,934,1868,3
38,,1,6,2.464100666,345.4065967,0.44761905,0.00702888,21,21,42,3
2651,,1,6,2.310140637,651.8125599,0.45185184,0.022368614,55,55,110,3
300074,,1,6,2.640636566,0,1,0.001894151,11,11,22,3
600760,,1,6,2.299407846,989.8114256,0.7878788,0.033999852,78,78,156,3
2253,,2,5,1.711695041,6288.224414,0.9181659,0.853954986,967,967,1934,3
601890,,1,6,2.333456699,0,1,0.032119822,68,68,136,3
2413,,1,7,3.255736491,0,1,7.24E-05,4,4,8,3
300213,,1,7,3.200592154,39.01509818,0.6666667,1.15E-04,6,6,12,3
2027,,1,6,2.564766839,22.56088471,0.4,0.001085673,5,5,10,3
600882,,1,6,2.537749815,0,1,0.003969428,6,6,12,3
615,,1,6,2.518504811,4.25628683,0.9230769,0.002272774,14,14,28,3
2707,,1,6,2.629533679,1.312122417,0.92727274,0.001115045,11,11,22,3
671,,2,6,1.857512953,2342.753167,0.98554534,0.574959651,680,680,1360,3
2062,,1,6,2.548482605,0,1,0.002218989,6,6,12,3
2718,,1,6,2.473353072,81.75511672,0.65367967,0.010042525,22,22,44,3
2735,,2,5,1.726128793,1724.802561,0.9820391,0.852362716,933,933,1866,3
600603,,1,6,2.423760178,479.1592197,0.4970964,0.015747831,42,42,84,3
300143,,1,6,2.376017765,319.8375377,0.30788177,0.005392313,29,29,58,3
300378,,1,6,2.604737232,0,1,0.001159209,12,12,24,3
723,,2,5,1.618800888,8611.274446,0.81528455,0.993528492,1174,1174,2348,3
600396,,2,6,1.856402665,1871.552322,0.9801267,0.575035394,682,682,1364,3
600678,,1,6,2.57253886,1144.275814,0.85714287,0.005511509,14,14,28,3
300122,,1,6,2.558105107,0,1,0.001133884,6,6,12,3
601233,,2,5,1.615470022,9427.931756,0.8049625,0.994058531,1182,1182,2364,3
600385,,2,6,2.528497409,0,1,0.008017683,9,9,18,3
681,,1,6,2.561435973,0,1,0.00121846,11,11,22,3
300295,,1,6,2.47446336,137.453319,0.5368421,0.00484137,20,20,40,3
300448,,1,6,2.414137676,0,1,0.006441496,31,31,62,3
662,,1,6,2.473723168,0,1,0.00260784,22,22,44,3
300243,,2,5,1.725018505,3229.140748,0.9730849,0.850783746,936,936,1872,3
300350,,1,6,2.531828275,0,1,0.003250828,12,12,24,3
600801,,2,5,1.619170984,6916.873616,0.8139338,0.993555064,1175,1175,2350,3
2542,,1,7,3.311991118,0,1,6.26E-05,3,3,6,3
708,,2,6,2.584752036,4.667700816,0.5,0.001498697,4,4,8,3
300430,,1,6,2.64507772,0,1,0.001000395,6,6,12,3
2244,,2,5,1.726868986,99.20397292,0.98870337,0.854856323,932,932,1864,3
601311,,2,6,1.839008142,698.0534677,0.9409856,0.59568108,713,713,1426,3
2355,,2,5,1.728349371,723.0766188,0.9915646,0.850518644,927,927,1854,3
600468,,2,5,1.60584752,8590.211495,0.7737115,0.995332658,1207,1207,2414,3
600229,,1,6,2.481865285,0,1,0.011351015,18,18,36,3
603997,,2,6,1.857142857,735.4743896,0.9796782,0.576052463,683,683,1366,3
2752,,2,5,1.728719467,387.1388124,0.9906551,0.851197268,928,928,1856,3
2662,,1,6,2.439304219,0,1,0.015261942,30,30,60,3
600182,,1,6,2.543671355,0,1,0.006322908,12,12,24,3
529,,2,6,1.850481125,2066.690682,0.9585621,0.575368886,690,690,1380,3
300018,,2,5,1.720207254,3126.178195,0.95739734,0.852317473,945,945,1890,3
2302,,2,5,1.730199852,160.3565401,0.9978824,0.850418041,924,924,1848,3
718,,2,6,1.854552184,124.7938314,0.98415226,0.581936005,686,686,1372,3
600326,,2,6,1.858993338,4104.76326,0.99415714,0.57489233,677,677,1354,3
600725,,2,5,1.62250185,4566.11861,0.8248841,0.993339529,1167,1167,2334,3
20,,2,6,1.860843819,0,1,0.57484643,675,675,1350,3
514,,2,6,1.860103627,1761.957657,0.9941178,0.574877811,677,677,1354,3
998,,2,5,1.623242043,796.8273636,0.8262973,0.993326604,1166,1166,2332,3
600031,,2,5,1.623242043,796.8273636,0.8262973,0.993326604,1166,1166,2332,3
600227,,2,5,1.623242043,796.8273636,0.8262973,0.993326604,1166,1166,2332,3
600322,,2,6,1.860843819,0,1,0.57484643,675,675,1350,3
600387,,2,5,1.623242043,796.8273636,0.8262973,0.993326604,1166,1166,2332,3
600458,,2,5,1.623242043,796.8273636,0.8262973,0.993326604,1166,1166,2332,3
600614,,2,5,1.623242043,796.8273636,0.8262973,0.993326604,1166,1166,2332,3
600665,,2,6,1.860843819,0,1,0.57484643,675,675,1350,3
600759,,2,6,1.860843819,0,1,0.57484643,675,675,1350,3
600868,,2,6,1.860843819,0,1,0.57484643,675,675,1350,3
601137,,2,6,1.860843819,0,1,0.57484643,675,675,1350,3
601677,,2,6,1.860843819,0,1,0.57484643,675,675,1350,3
603188,,2,6,1.860843819,0,1,0.57484643,675,675,1350,3
2088,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
2384,,1,6,2.50592154,5.686637126,0.88461536,0.00284013,13,13,26,3
609,,1,6,2.577720207,0,1,0.008037302,23,23,46,3
2112,,2,5,1.720947446,16415.79077,0.9648313,0.850789405,940,940,1880,3
2352,,2,5,1.722057735,5594.492523,0.96895003,0.85076755,938,938,1876,3
2598,,2,5,1.722057735,5594.492523,0.96895003,0.85076755,938,938,1876,3
2637,,2,5,1.722057735,5594.492523,0.96895003,0.85076755,938,938,1876,3
600769,,1,6,2.577720207,0,1,0.008037302,23,23,46,3
2024,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
300051,,2,5,1.728349371,3941.960006,0.98824745,0.851083275,929,929,1858,3
300234,,1,6,2.566617321,0,1,0.001517132,5,5,10,3
2145,,1,7,3.390081421,0,0,4.70E-05,1,1,2,3
2377,,1,6,2.719467061,0,1,8.62E-04,2,2,4,3
300087,,1,7,3.491117691,0,0,1.44E-05,1,1,2,3
600719,,0,6,2.722797927,0,0,8.53E-04,1,1,2,3
2511,,1,7,3.170984456,0,1,6.99E-05,2,2,4,3
2016,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
2122,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
2225,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
2252,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
2293,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
2523,,2,5,1.72945966,546.3354501,0.99467283,0.851055852,926,926,1852,3
2656,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
2694,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
2742,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
2747,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
2759,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
2767,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
300129,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
300172,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
300179,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
300223,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
300305,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
300315,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
300319,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
300416,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
601678,,2,5,1.730569948,0,1,0.850386628,923,923,1846,3
